Service,Port,Protocol,Description
ardusuni,1834,udp,ARDUS Unicast
ardusmul,1835,udp,ARDUS Multicast
ste-smsc,1836,udp,ste-smsc
csoft1,1837,udp,csoft1
talnet,1838,udp,TALNET
netopia-vo1,1839,udp,netopia-vo1
netopia-vo2,1840,udp,netopia-vo2
netopia-vo3,1841,udp,netopia-vo3
netopia-vo4,1842,udp,netopia-vo4
netopia-vo5,1843,udp,netopia-vo5
direcpc-dll,1844,udp,DirecPC-DLL
altalink,1845,udp,altalink
tunstall-pnc,1846,udp,Tunstall PNC
slp-notify,1847,udp,SLP Notification
fjdocdist,1848,udp,fjdocdist
alpha-sms,1849,udp,ALPHA-SMS
gsi,1850,udp,GSI
ctcd,1851,udp,ctcd
virtual-time,1852,udp,Virtual Time
vids-avtp,1853,udp,VIDS-AVTP
buddy-draw,1854,udp,Buddy Draw
fiorano-rtrsvc,1855,udp,Fiorano RtrSvc
fiorano-msgsvc,1856,udp,Fiorano MsgSvc
datacaptor,1857,udp,DataCaptor
privateark,1858,udp,PrivateArk
gammafetchsvr,1859,udp,Gamma Fetcher Server
sunscalar-svc,1860,udp,SunSCALAR Services
lecroy-vicp,1861,udp,LeCroy VICP
mysql-cm-agent,1862,udp,MySQL Cluster Manager Agent
msnp,1863,udp,MSNP
paradym-31port,1864,udp,Paradym 31 Port
entp,1865,udp,ENTP
swrmi,1866,udp,swrmi
udrive,1867,udp,UDRIVE
viziblebrowser,1868,udp,VizibleBrowser
transact,1869,udp,TransAct
sunscalar-dns,1870,udp,SunSCALAR DNS Service
canocentral0,1871,udp,Cano Central 0
canocentral1,1872,udp,Cano Central 1
fjmpjps,1873,udp,Fjmpjps
fjswapsnp,1874,udp,Fjswapsnp
westell-stats,1875,udp,westell stats
ewcappsrv,1876,udp,ewcappsrv
hp-webqosdb,1877,udp,hp-webqosdb
drmsmc,1878,udp,drmsmc
nettgain-nms,1879,udp,NettGain NMS
vsat-control,1880,udp,Gilat VSAT Control
ibm-mqseries2,1881,udp,IBM WebSphere MQ Everyplace
ecsqdmn,1882,udp,CA eTrust Common Services
mqtt,1883,udp,Message Queuing Telemetry Transport Protocol
idmaps,1884,udp,Internet Distance Map Svc
vrtstrapserver,1885,udp,Veritas Trap Server
leoip,1886,udp,Leonardo over IP
filex-lport,1887,udp,FileX Listening Port
ncconfig,1888,udp,NC Config Port
unify-adapter,1889,udp,Unify Web Adapter Service
wilkenlistener,1890,udp,wilkenListener
childkey-notif,1891,udp,ChildKey Notification
childkey-ctrl,1892,udp,ChildKey Control
elad,1893,udp,ELAD Protocol
o2server-port,1894,udp,O2Server Port
,1895,udp,unassigned
b-novative-ls,1896,udp,b-novative license server
metaagent,1897,udp,MetaAgent
cymtec-port,1898,udp,Cymtec secure management
mc2studios,1899,udp,MC2Studios
ssdp,1900,udp,SSDP
fjicl-tep-a,1901,udp,Fujitsu ICL Terminal Emulator Program A
fjicl-tep-b,1902,udp,Fujitsu ICL Terminal Emulator Program B
linkname,1903,udp,Local Link Name Resolution
fjicl-tep-c,1904,udp,Fujitsu ICL Terminal Emulator Program C
sugp,1905,udp,Secure UP.Link Gateway Protocol
tpmd,1906,udp,TPortMapperReq
intrastar,1907,udp,IntraSTAR
dawn,1908,udp,Dawn
global-wlink,1909,udp,Global World Link
ultrabac,1910,udp,UltraBac Software communications port
mtp,1911,udp,Starlight Networks Multimedia Transport Protocol
rhp-iibp,1912,udp,rhp-iibp
armadp,1913,udp,armadp
elm-momentum,1914,udp,Elm-Momentum
facelink,1915,udp,FACELINK
persona,1916,udp,Persoft Persona
noagent,1917,udp,nOAgent
can-nds,1918,udp,IBM Tivole Directory Service - NDS
can-dch,1919,udp,IBM Tivoli Directory Service - DCH
can-ferret,1920,udp,IBM Tivoli Directory Service - FERRET
noadmin,1921,udp,NoAdmin
tapestry,1922,udp,Tapestry
spice,1923,udp,SPICE
xiip,1924,udp,XIIP
discovery-port,1925,udp,Surrogate Discovery Port
egs,1926,udp,Evolution Game Server
videte-cipc,1927,udp,Videte CIPC Port
emsd-port,1928,udp,Expnd Maui Srvr Dscovr
bandwiz-system,1929,udp,Bandwiz System - Server
driveappserver,1930,udp,Drive AppServer
amdsched,1931,udp,AMD SCHED
ctt-broker,1932,udp,CTT Broker
xmapi,1933,udp,IBM LM MT Agent
xaapi,1934,udp,IBM LM Appl Agent
macromedia-fcs,1935,udp,Macromedia Flash Communications server MX
jetcmeserver,1936,udp,JetCmeServer Server Port
jwserver,1937,udp,JetVWay Server Port
jwclient,1938,udp,JetVWay Client Port
jvserver,1939,udp,JetVision Server Port
jvclient,1940,udp,JetVision Client Port
dic-aida,1941,udp,DIC-Aida
res,1942,udp,Real Enterprise Service
beeyond-media,1943,udp,Beeyond Media
close-combat,1944,udp,close-combat
dialogic-elmd,1945,udp,dialogic-elmd
tekpls,1946,udp,tekpls
sentinelsrm,1947,udp,SentinelSRM
eye2eye,1948,udp,eye2eye
ismaeasdaqlive,1949,udp,ISMA Easdaq Live
ismaeasdaqtest,1950,udp,ISMA Easdaq Test
bcs-lmserver,1951,udp,bcs-lmserver
mpnjsc,1952,udp,mpnjsc
rapidbase,1953,udp,Rapid Base
abr-api,1954,udp,ABR-API (diskbridge)
abr-secure,1955,udp,ABR-Secure Data (diskbridge)
vrtl-vmf-ds,1956,udp,Vertel VMF DS
unix-status,1957,udp,unix-status
dxadmind,1958,udp,CA Administration Daemon
simp-all,1959,udp,SIMP Channel
nasmanager,1960,udp,Merit DAC NASmanager
bts-appserver,1961,udp,BTS APPSERVER
biap-mp,1962,udp,BIAP-MP
webmachine,1963,udp,WebMachine
solid-e-engine,1964,udp,SOLID E ENGINE
tivoli-npm,1965,udp,Tivoli NPM
slush,1966,udp,Slush
sns-quote,1967,udp,SNS Quote
lipsinc,1968,udp,LIPSinc
lipsinc1,1969,udp,LIPSinc 1
netop-rc,1970,udp,NetOp Remote Control
netop-school,1971,udp,NetOp School
intersys-cache,1972,udp,Cache
dlsrap,1973,udp,Data Link Switching Remote Access Protocol
drp,1974,udp,DRP
tcoflashagent,1975,udp,TCO Flash Agent
tcoregagent,1976,udp,TCO Reg Agent
tcoaddressbook,1977,udp,TCO Address Book
unisql,1978,udp,UniSQL
unisql-java,1979,udp,UniSQL Java
pearldoc-xact,1980,udp,PearlDoc XACT
p2pq,1981,udp,p2pQ
estamp,1982,udp,Evidentiary Timestamp
lhtp,1983,udp,Loophole Test Protocol
bb,1984,udp,BB
hsrp,1985,udp,Hot Standby Router Protocol
licensedaemon,1986,udp,cisco license management
tr-rsrb-p1,1987,udp,cisco RSRB Priority 1 port
tr-rsrb-p2,1988,udp,cisco RSRB Priority 2 port
tr-rsrb-p3,1989,udp,cisco RSRB Priority 3 port
mshnet,1989,udp,MHSnet system
stun-p1,1990,udp,cisco STUN Priority 1 port
stun-p2,1991,udp,cisco STUN Priority 2 port
stun-p3,1992,udp,cisco STUN Priority 3 port
ipsendmsg,1992,udp,IPsendmsg
snmp-tcp-port,1993,udp,cisco SNMP TCP port
stun-port,1994,udp,cisco serial tunnel port
perf-port,1995,udp,cisco perf port
tr-rsrb-port,1996,udp,cisco Remote SRB port
gdp-port,1997,udp,cisco Gateway Discovery Protocol
x25-svc-port,1998,udp,cisco X.25 service (XOT)
tcp-id-port,1999,udp,cisco identification port
cisco-sccp,2000,udp,Cisco SCCp
wizard,2001,udp,curry
globe,2002,udp,
brutus,2003,udp,Brutus Server
emce,2004,udp,CCWS mm conf
oracle,2005,udp,
raid-cd,2006,udp,raid
raid-am,2007,udp,
terminaldb,2008,udp,
whosockami,2009,udp,
pipe-server,2010,udp,"IANA assigned this well-formed service name as a replacement for ""pipe_server""."
pipe_server,2010,udp,
servserv,2011,udp,
raid-ac,2012,udp,
raid-cd,2013,udp,
raid-sf,2014,udp,
raid-cs,2015,udp,
bootserver,2016,udp,
bootclient,2017,udp,
rellpack,2018,udp,
about,2019,udp,
xinupageserver,2020,udp,
xinuexpansion1,2021,udp,
xinuexpansion2,2022,udp,
xinuexpansion3,2023,udp,
xinuexpansion4,2024,udp,
xribs,2025,udp,
scrabble,2026,udp,
shadowserver,2027,udp,
submitserver,2028,udp,
hsrpv6,2029,udp,Hot Standby Router Protocol IPv6
device2,2030,udp,
mobrien-chat,2031,udp,mobrien-chat
blackboard,2032,udp,
glogger,2033,udp,
scoremgr,2034,udp,
imsldoc,2035,udp,
e-dpnet,2036,udp,Ethernet WS DP network
applus,2037,udp,APplus Application Server
objectmanager,2038,udp,
prizma,2039,udp,Prizma Monitoring Service
lam,2040,udp,
interbase,2041,udp,
isis,2042,udp,isis
isis-bcast,2043,udp,isis-bcast
rimsl,2044,udp,
cdfunc,2045,udp,
sdfunc,2046,udp,
dls,2047,udp,
dls-monitor,2048,udp,
shilp,2049,udp,
nfs,2049,udp,Network File System - Sun Microsystems
av-emb-config,2050,udp,Avaya EMB Config Port
epnsdp,2051,udp,EPNSDP
clearvisn,2052,udp,clearVisn Services Port
lot105-ds-upd,2053,udp,Lot105 DSuper Updates
weblogin,2054,udp,Weblogin Port
iop,2055,udp,Iliad-Odyssey Protocol
omnisky,2056,udp,OmniSky Port
rich-cp,2057,udp,Rich Content Protocol
newwavesearch,2058,udp,NewWaveSearchables RMI
bmc-messaging,2059,udp,BMC Messaging Service
teleniumdaemon,2060,udp,Telenium Daemon IF
netmount,2061,udp,NetMount
icg-swp,2062,udp,ICG SWP Port
icg-bridge,2063,udp,ICG Bridge Port
icg-iprelay,2064,udp,ICG IP Relay Port
dlsrpn,2065,udp,Data Link Switch Read Port Number
aura,2066,udp,AVM USB Remote Architecture
dlswpn,2067,udp,Data Link Switch Write Port Number
avauthsrvprtcl,2068,udp,Avocent AuthSrv Protocol
event-port,2069,udp,HTTP Event Port
ah-esp-encap,2070,udp,AH and ESP Encapsulated in UDP packet
acp-port,2071,udp,Axon Control Protocol
msync,2072,udp,GlobeCast mSync
gxs-data-port,2073,udp,DataReel Database Socket
vrtl-vmf-sa,2074,udp,Vertel VMF SA
newlixengine,2075,udp,Newlix ServerWare Engine
newlixconfig,2076,udp,Newlix JSPConfig
tsrmagt,2077,udp,Old Tivoli Storage Manager
tpcsrvr,2078,udp,IBM Total Productivity Center Server
idware-router,2079,udp,IDWARE Router Port
autodesk-nlm,2080,udp,Autodesk NLM (FLEXlm)
kme-trap-port,2081,udp,KME PRINTER TRAP PORT
infowave,2082,udp,Infowave Mobility Server
radsec,2083,udp,Secure Radius Service
sunclustergeo,2084,udp,SunCluster Geographic
ada-cip,2085,udp,ADA Control
gnunet,2086,udp,GNUnet
eli,2087,udp,ELI - Event Logging Integration
ip-blf,2088,udp,IP Busy Lamp Field
sep,2089,udp,Security Encapsulation Protocol - SEP
lrp,2090,udp,Load Report Protocol
prp,2091,udp,PRP
descent3,2092,udp,Descent 3
nbx-cc,2093,udp,NBX CC
nbx-au,2094,udp,NBX AU
nbx-ser,2095,udp,NBX SER
nbx-dir,2096,udp,NBX DIR
jetformpreview,2097,udp,Jet Form Preview
dialog-port,2098,udp,Dialog Port
h2250-annex-g,2099,udp,H.225.0 Annex G Signalling
amiganetfs,2100,udp,Amiga Network Filesystem
rtcm-sc104,2101,udp,rtcm-sc104
zephyr-srv,2102,udp,Zephyr server
zephyr-clt,2103,udp,Zephyr serv-hm connection
zephyr-hm,2104,udp,Zephyr hostmanager
minipay,2105,udp,MiniPay
mzap,2106,udp,MZAP
bintec-admin,2107,udp,BinTec Admin
comcam,2108,udp,Comcam
ergolight,2109,udp,Ergolight
umsp,2110,udp,UMSP
dsatp,2111,udp,OPNET Dynamic Sampling Agent Transaction Protocol
idonix-metanet,2112,udp,Idonix MetaNet
hsl-storm,2113,udp,HSL StoRM
ariascribe,2114,udp,Classical Music Meta-Data Access and Enhancement
kdm,2115,udp,Key Distribution Manager
ccowcmr,2116,udp,CCOWCMR
mentaclient,2117,udp,MENTACLIENT
mentaserver,2118,udp,MENTASERVER
gsigatekeeper,2119,udp,GSIGATEKEEPER
qencp,2120,udp,Quick Eagle Networks CP
scientia-ssdb,2121,udp,SCIENTIA-SSDB
caupc-remote,2122,udp,CauPC Remote Control
gtp-control,2123,udp,GTP-Control Plane (3GPP)
elatelink,2124,udp,ELATELINK
lockstep,2125,udp,LOCKSTEP
pktcable-cops,2126,udp,PktCable-COPS
index-pc-wb,2127,udp,INDEX-PC-WB
net-steward,2128,udp,Net Steward Control
cs-live,2129,udp,cs-live.com
xds,2130,udp,XDS
avantageb2b,2131,udp,Avantageb2b
solera-epmap,2132,udp,SoleraTec End Point Map
zymed-zpp,2133,udp,ZYMED-ZPP
avenue,2134,udp,AVENUE
gris,2135,udp,Grid Resource Information Server
appworxsrv,2136,udp,APPWORXSRV
connect,2137,udp,CONNECT
unbind-cluster,2138,udp,UNBIND-CLUSTER
ias-auth,2139,udp,IAS-AUTH
ias-reg,2140,udp,IAS-REG
ias-admind,2141,udp,IAS-ADMIND
tdmoip,2142,udp,TDM OVER IP
lv-jc,2143,udp,Live Vault Job Control
lv-ffx,2144,udp,Live Vault Fast Object Transfer
lv-pici,2145,udp,Live Vault Remote Diagnostic Console Support
lv-not,2146,udp,Live Vault Admin Event Notification
lv-auth,2147,udp,Live Vault Authentication
veritas-ucl,2148,udp,VERITAS UNIVERSAL COMMUNICATION LAYER
acptsys,2149,udp,ACPTSYS
dynamic3d,2150,udp,DYNAMIC3D
docent,2151,udp,DOCENT
gtp-user,2152,udp,GTP-User Plane (3GPP)
ctlptc,2153,udp,Control Protocol
stdptc,2154,udp,Standard Protocol
brdptc,2155,udp,Bridge Protocol
trp,2156,udp,Talari Reliable Protocol
xnds,2157,udp,Xerox Network Document Scan Protocol
touchnetplus,2158,udp,TouchNetPlus Service
gdbremote,2159,udp,GDB Remote Debug Port
apc-2160,2160,udp,APC 2160
apc-2161,2161,udp,APC 2161
navisphere,2162,udp,Navisphere
navisphere-sec,2163,udp,Navisphere Secure
ddns-v3,2164,udp,Dynamic DNS Version 3
x-bone-api,2165,udp,X-Bone API
iwserver,2166,udp,iwserver
raw-serial,2167,udp,Raw Async Serial Link
easy-soft-mux,2168,udp,easy-soft Multiplexer
brain,2169,udp,Backbone for Academic Information Notification (BRAIN)
eyetv,2170,udp,EyeTV Server Port
msfw-storage,2171,udp,MS Firewall Storage
msfw-s-storage,2172,udp,MS Firewall SecureStorage
msfw-replica,2173,udp,MS Firewall Replication
msfw-array,2174,udp,MS Firewall Intra Array
airsync,2175,udp,Microsoft Desktop AirSync Protocol
rapi,2176,udp,Microsoft ActiveSync Remote API
qwave,2177,udp,qWAVE Bandwidth Estimate
bitspeer,2178,udp,Peer Services for BITS
vmrdp,2179,udp,Microsoft RDP for virtual machines
mc-gt-srv,2180,udp,Millicent Vendor Gateway Server
eforward,2181,udp,eforward
cgn-stat,2182,udp,CGN status
cgn-config,2183,udp,Code Green configuration
nvd,2184,udp,NVD User
onbase-dds,2185,udp,OnBase Distributed Disk Services
gtaua,2186,udp,Guy-Tek Automated Update Applications
ssmd,2187,udp,Sepehr System Management Data
,2188,udp,Reserved
,2189,udp,Reserved
tivoconnect,2190,udp,TiVoConnect Beacon
tvbus,2191,udp,TvBus Messaging
asdis,2192,udp,ASDIS software management
drwcs,2193,udp,Dr.Web Enterprise Management Service
mnp-exchange,2197,udp,MNP data exchange
onehome-remote,2198,udp,OneHome Remote Access
onehome-help,2199,udp,OneHome Service Port
,2200,udp,Reserved
ats,2201,udp,Advanced Training System Program
imtc-map,2202,udp,Int. Multimedia Teleconferencing Cosortium
b2-runtime,2203,udp,b2 Runtime Protocol
b2-license,2204,udp,b2 License Server
jps,2205,udp,Java Presentation Server
hpocbus,2206,udp,HP OpenCall bus
hpssd,2207,udp,HP Status and Services
hpiod,2208,udp,HP I/O Backend
rimf-ps,2209,udp,HP RIM for Files Portal Service
noaaport,2210,udp,NOAAPORT Broadcast Network
emwin,2211,udp,EMWIN
leecoposserver,2212,udp,LeeCO POS Server Service
kali,2213,udp,Kali
rpi,2214,udp,RDQ Protocol Interface
ipcore,2215,udp,IPCore.co.za GPRS
vtu-comms,2216,udp,VTU data service
gotodevice,2217,udp,GoToDevice Device Management
bounzza,2218,udp,Bounzza IRC Proxy
netiq-ncap,2219,udp,NetIQ NCAP Protocol
netiq,2220,udp,NetIQ End2End
ethernet-ip-s,2221,udp,EtherNet/IP over DTLS
EtherNet-IP-1,2222,udp,"EtherNet/IP I/O IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1""."
EtherNet/IP-1,2222,udp,EtherNet/IP I/O
rockwell-csp2,2223,udp,Rockwell CSP2
efi-mg,2224,udp,Easy Flexible Internet/Multiplayer Games
,2225,udp,Reserved
di-drm,2226,udp,Digital Instinct DRM
di-msg,2227,udp,DI Messaging Service
ehome-ms,2228,udp,eHome Message Server
datalens,2229,udp,DataLens Service
queueadm,2230,udp,MetaSoft Job Queue Administration Service
wimaxasncp,2231,udp,WiMAX ASN Control Plane Protocol
ivs-video,2232,udp,IVS Video default
infocrypt,2233,udp,INFOCRYPT
directplay,2234,udp,DirectPlay
sercomm-wlink,2235,udp,Sercomm-WLink
nani,2236,udp,Nani
optech-port1-lm,2237,udp,Optech Port1 License Manager
aviva-sna,2238,udp,AVIVA SNA SERVER
imagequery,2239,udp,Image Query
recipe,2240,udp,RECIPe
ivsd,2241,udp,IVS Daemon
foliocorp,2242,udp,Folio Remote Server
magicom,2243,udp,Magicom Protocol
nmsserver,2244,udp,NMS Server
hao,2245,udp,HaO
pc-mta-addrmap,2246,udp,PacketCable MTA Addr Map
antidotemgrsvr,2247,udp,Antidote Deployment Manager Service
ums,2248,udp,User Management Service
rfmp,2249,udp,RISO File Manager Protocol
remote-collab,2250,udp,remote-collab
dif-port,2251,udp,Distributed Framework Port
njenet-ssl,2252,udp,NJENET using SSL
dtv-chan-req,2253,udp,DTV Channel Request
seispoc,2254,udp,Seismic P.O.C. Port
vrtp,2255,udp,VRTP - ViRtue Transfer Protocol
pcc-mfp,2256,udp,PCC MFP
simple-tx-rx,2257,udp,simple text/file transfer
rcts,2258,udp,Rotorcraft Communications Test System
apc-2260,2260,udp,APC 2260
comotionmaster,2261,udp,CoMotion Master Server
comotionback,2262,udp,CoMotion Backup Server
ecwcfg,2263,udp,ECweb Configuration Service
apx500api-1,2264,udp,Audio Precision Apx500 API Port 1
apx500api-2,2265,udp,Audio Precision Apx500 API Port 2
mfserver,2266,udp,M-files Server
ontobroker,2267,udp,OntoBroker
amt,2268,udp,AMT
mikey,2269,udp,MIKEY
starschool,2270,udp,starSchool
mmcals,2271,udp,Secure Meeting Maker Scheduling
mmcal,2272,udp,Meeting Maker Scheduling
mysql-im,2273,udp,MySQL Instance Manager
pcttunnell,2274,udp,PCTTunneller
ibridge-data,2275,udp,iBridge Conferencing
ibridge-mgmt,2276,udp,iBridge Management
bluectrlproxy,2277,udp,Bt device control proxy
s3db,2278,udp,Simple Stacked Sequences Database
xmquery,2279,udp,xmquery
lnvpoller,2280,udp,LNVPOLLER
lnvconsole,2281,udp,LNVCONSOLE
lnvalarm,2282,udp,LNVALARM
lnvstatus,2283,udp,LNVSTATUS
lnvmaps,2284,udp,LNVMAPS
lnvmailmon,2285,udp,LNVMAILMON
nas-metering,2286,udp,NAS-Metering
dna,2287,udp,DNA
netml,2288,udp,NETML
dict-lookup,2289,udp,Lookup dict server
sonus-logging,2290,udp,Sonus Logging Services
eapsp,2291,udp,EPSON Advanced Printer Share Protocol
mib-streaming,2292,udp,Sonus Element Management Services
npdbgmngr,2293,udp,Network Platform Debug Manager
konshus-lm,2294,udp,Konshus License Manager (FLEX)
advant-lm,2295,udp,Advant License Manager
theta-lm,2296,udp,Theta License Manager (Rainbow)
d2k-datamover1,2297,udp,D2K DataMover 1
d2k-datamover2,2298,udp,D2K DataMover 2
pc-telecommute,2299,udp,PC Telecommute
cvmmon,2300,udp,CVMMON
cpq-wbem,2301,udp,Compaq HTTP
binderysupport,2302,udp,Bindery Support
proxy-gateway,2303,udp,Proxy Gateway
attachmate-uts,2304,udp,Attachmate UTS
mt-scaleserver,2305,udp,MT ScaleServer
tappi-boxnet,2306,udp,TAPPI BoxNet
pehelp,2307,udp,pehelp
sdhelp,2308,udp,sdhelp
sdserver,2309,udp,SD Server
sdclient,2310,udp,SD Client
messageservice,2311,udp,Message Service
wanscaler,2312,udp,WANScaler Communication Service
iapp,2313,udp,IAPP (Inter Access Point Protocol)
cr-websystems,2314,udp,CR WebSystems
precise-sft,2315,udp,Precise Sft.
sent-lm,2316,udp,SENT License Manager
attachmate-g32,2317,udp,Attachmate G32
cadencecontrol,2318,udp,Cadence Control
infolibria,2319,udp,InfoLibria
siebel-ns,2320,udp,Siebel NS
rdlap,2321,udp,RDLAP
ofsd,2322,udp,ofsd
3d-nfsd,2323,udp,3d-nfsd
cosmocall,2324,udp,Cosmocall
ansysli,2325,udp,ANSYS Licensing Interconnect
idcp,2326,udp,IDCP
xingcsm,2327,udp,xingcsm
netrix-sftm,2328,udp,Netrix SFTM
nvd,2329,udp,NVD
tscchat,2330,udp,TSCCHAT
agentview,2331,udp,AGENTVIEW
rcc-host,2332,udp,RCC Host
snapp,2333,udp,SNAPP
ace-client,2334,udp,ACE Client Auth
ace-proxy,2335,udp,ACE Proxy
appleugcontrol,2336,udp,Apple UG Control
ideesrv,2337,udp,ideesrv
norton-lambert,2338,udp,Norton Lambert
3com-webview,2339,udp,3Com WebView
wrs-registry,2340,udp,"WRS Registry IANA assigned this well-formed service name as a replacement for ""wrs_registry""."
wrs_registry,2340,udp,WRS Registry
xiostatus,2341,udp,XIO Status
manage-exec,2342,udp,Seagate Manage Exec
nati-logos,2343,udp,nati logos
fcmsys,2344,udp,fcmsys
dbm,2345,udp,dbm
redstorm-join,2346,udp,"Game Connection Port IANA assigned this well-formed service name as a replacement for ""redstorm_join""."
redstorm_join,2346,udp,Game Connection Port
redstorm-find,2347,udp,"Game Announcement and Location IANA assigned this well-formed service name as a replacement for ""redstorm_find""."
redstorm_find,2347,udp,Game Announcement and Location
redstorm-info,2348,udp,"Information to query for game status IANA assigned this well-formed service name as a replacement for ""redstorm_info""."
redstorm_info,2348,udp,Information to query for game status
redstorm-diag,2349,udp,"Diagnostics Port IANA assigned this well-formed service name as a replacement for ""redstorm_diag""."
redstorm_diag,2349,udp,Diagnostics Port
psbserver,2350,udp,Pharos Booking Server
psrserver,2351,udp,psrserver
pslserver,2352,udp,pslserver
pspserver,2353,udp,pspserver
psprserver,2354,udp,psprserver
psdbserver,2355,udp,psdbserver
gxtelmd,2356,udp,GXT License Managemant
unihub-server,2357,udp,UniHub Server
futrix,2358,udp,Futrix
flukeserver,2359,udp,FlukeServer
nexstorindltd,2360,udp,NexstorIndLtd
tl1,2361,udp,TL1
digiman,2362,udp,digiman
mediacntrlnfsd,2363,udp,Media Central NFSD
oi-2000,2364,udp,OI-2000
dbref,2365,udp,dbref
qip-login,2366,udp,qip-login
service-ctrl,2367,udp,Service Control
opentable,2368,udp,OpenTable
l3-hbmon,2370,udp,L3-HBMon
,2371,udp,Reserved
lanmessenger,2372,udp,LanMessenger
,2373,udp,Reserved
,2374,udp,Reserved
,2375,udp,Reserved
,2377,udp,Reserved
dali,2378,udp,DALI lighting control
,2379,udp,Reserved
,2380,udp,Reserved
compaq-https,2381,udp,Compaq HTTPS
ms-olap3,2382,udp,Microsoft OLAP
ms-olap4,2383,udp,Microsoft OLAP
sd-capacity,2384,udp,SD-CAPACITY
sd-data,2385,udp,SD-DATA
virtualtape,2386,udp,Virtual Tape
vsamredirector,2387,udp,VSAM Redirector
mynahautostart,2388,udp,MYNAH AutoStart
ovsessionmgr,2389,udp,OpenView Session Mgr
rsmtp,2390,udp,RSMTP
3com-net-mgmt,2391,udp,3COM Net Management
tacticalauth,2392,udp,Tactical Auth
ms-olap1,2393,udp,MS OLAP 1
ms-olap2,2394,udp,MS OLAP 2
lan900-remote,2395,udp,"LAN900 Remote IANA assigned this well-formed service name as a replacement for ""lan900_remote""."
lan900_remote,2395,udp,LAN900 Remote
wusage,2396,udp,Wusage
ncl,2397,udp,NCL
orbiter,2398,udp,Orbiter
fmpro-fdal,2399,udp,"FileMaker, Inc. - Data Access Layer"
opequus-server,2400,udp,OpEquus Server
cvspserver,2401,udp,cvspserver
taskmaster2000,2402,udp,TaskMaster 2000 Server
taskmaster2000,2403,udp,TaskMaster 2000 Web
iec-104,2404,udp,IEC 60870-5-104 process control over IP
trc-netpoll,2405,udp,TRC Netpoll
jediserver,2406,udp,JediServer
orion,2407,udp,Orion
,2408,udp,Reserved
sns-protocol,2409,udp,SNS Protocol
vrts-registry,2410,udp,VRTS Registry
netwave-ap-mgmt,2411,udp,Netwave AP Management
cdn,2412,udp,CDN
orion-rmi-reg,2413,udp,orion-rmi-reg
beeyond,2414,udp,Beeyond
codima-rtp,2415,udp,Codima Remote Transaction Protocol
rmtserver,2416,udp,RMT Server
composit-server,2417,udp,Composit Server
cas,2418,udp,cas
attachmate-s2s,2419,udp,Attachmate S2S
dslremote-mgmt,2420,udp,DSL Remote Management
g-talk,2421,udp,G-Talk
crmsbits,2422,udp,CRMSBITS
rnrp,2423,udp,RNRP
kofax-svr,2424,udp,KOFAX-SVR
fjitsuappmgr,2425,udp,Fujitsu App Manager
vcmp,2426,udp,VeloCloud MultiPath Protocol
mgcp-gateway,2427,udp,Media Gateway Control Protocol Gateway
ott,2428,udp,One Way Trip Time
ft-role,2429,udp,FT-ROLE
venus,2430,udp,venus
venus-se,2431,udp,venus-se
codasrv,2432,udp,codasrv
codasrv-se,2433,udp,codasrv-se
pxc-epmap,2434,udp,pxc-epmap
optilogic,2435,udp,OptiLogic
topx,2436,udp,TOP/X
unicontrol,2437,udp,UniControl
msp,2438,udp,MSP
sybasedbsynch,2439,udp,SybaseDBSynch
spearway,2440,udp,Spearway Lockers
pvsw-inet,2441,udp,Pervasive I*net Data Server
netangel,2442,udp,Netangel
powerclientcsf,2443,udp,PowerClient Central Storage Facility
btpp2sectrans,2444,udp,BT PP2 Sectrans
dtn1,2445,udp,DTN1
bues-service,2446,udp,"bues_service IANA assigned this well-formed service name as a replacement for ""bues_service""."
bues_service,2446,udp,bues_service
ovwdb,2447,udp,OpenView NNM daemon
hpppssvr,2448,udp,hpppsvr
ratl,2449,udp,RATL
netadmin,2450,udp,netadmin
netchat,2451,udp,netchat
snifferclient,2452,udp,SnifferClient
madge-ltd,2453,udp,madge ltd
indx-dds,2454,udp,IndX-DDS
wago-io-system,2455,udp,WAGO-IO-SYSTEM
altav-remmgt,2456,udp,altav-remmgt
rapido-ip,2457,udp,Rapido_IP
griffin,2458,udp,griffin
xrpl,2459,udp,Community
ms-theater,2460,udp,ms-theater
qadmifoper,2461,udp,qadmifoper
qadmifevent,2462,udp,qadmifevent
lsi-raid-mgmt,2463,udp,LSI RAID Management
direcpc-si,2464,udp,DirecPC SI
lbm,2465,udp,Load Balance Management
lbf,2466,udp,Load Balance Forwarding
high-criteria,2467,udp,High Criteria
qip-msgd,2468,udp,qip_msgd
mti-tcs-comm,2469,udp,MTI-TCS-COMM
taskman-port,2470,udp,taskman port
seaodbc,2471,udp,SeaODBC
c3,2472,udp,C3
aker-cdp,2473,udp,Aker-cdp
vitalanalysis,2474,udp,Vital Analysis
ace-server,2475,udp,ACE Server
ace-svr-prop,2476,udp,ACE Server Propagation
ssm-cvs,2477,udp,SecurSight Certificate Valifation Service
ssm-cssps,2478,udp,SecurSight Authentication Server (SSL)
ssm-els,2479,udp,SecurSight Event Logging Server (SSL)
powerexchange,2480,udp,Informatica PowerExchange Listener
giop,2481,udp,Oracle GIOP
giop-ssl,2482,udp,Oracle GIOP SSL
ttc,2483,udp,Oracle TTC
ttc-ssl,2484,udp,Oracle TTC SSL
netobjects1,2485,udp,Net Objects1
