Service,Port,Protocol,Description
radware-rpm-s,2189,tcp,Secure Radware Resource Pool Manager
tivoconnect,2190,tcp,TiVoConnect Beacon
tvbus,2191,tcp,TvBus Messaging
asdis,2192,tcp,ASDIS software management
drwcs,2193,tcp,Dr.Web Enterprise Management Service
mnp-exchange,2197,tcp,MNP data exchange
onehome-remote,2198,tcp,OneHome Remote Access
onehome-help,2199,tcp,OneHome Service Port
,2200,tcp,Reserved
ats,2201,tcp,Advanced Training System Program
imtc-map,2202,tcp,Int. Multimedia Teleconferencing Cosortium
b2-runtime,2203,tcp,b2 Runtime Protocol
b2-license,2204,tcp,b2 License Server
jps,2205,tcp,Java Presentation Server
hpocbus,2206,tcp,HP OpenCall bus
hpssd,2207,tcp,HP Status and Services
hpiod,2208,tcp,HP I/O Backend
rimf-ps,2209,tcp,HP RIM for Files Portal Service
noaaport,2210,tcp,NOAAPORT Broadcast Network
emwin,2211,tcp,EMWIN
leecoposserver,2212,tcp,LeeCO POS Server Service
kali,2213,tcp,Kali
rpi,2214,tcp,RDQ Protocol Interface
ipcore,2215,tcp,IPCore.co.za GPRS
vtu-comms,2216,tcp,VTU data service
gotodevice,2217,tcp,GoToDevice Device Management
bounzza,2218,tcp,Bounzza IRC Proxy
netiq-ncap,2219,tcp,NetIQ NCAP Protocol
netiq,2220,tcp,NetIQ End2End
ethernet-ip-s,2221,tcp,EtherNet/IP over TLS
EtherNet-IP-1,2222,tcp,"EtherNet/IP I/O IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1""."
EtherNet/IP-1,2222,tcp,EtherNet/IP I/O
rockwell-csp2,2223,tcp,Rockwell CSP2
efi-mg,2224,tcp,Easy Flexible Internet/Multiplayer Games
rcip-itu,2225,tcp,Resource Connection Initiation Protocol
di-drm,2226,tcp,Digital Instinct DRM
di-msg,2227,tcp,DI Messaging Service
ehome-ms,2228,tcp,eHome Message Server
datalens,2229,tcp,DataLens Service
queueadm,2230,tcp,MetaSoft Job Queue Administration Service
wimaxasncp,2231,tcp,WiMAX ASN Control Plane Protocol
ivs-video,2232,tcp,IVS Video default
infocrypt,2233,tcp,INFOCRYPT
directplay,2234,tcp,DirectPlay
sercomm-wlink,2235,tcp,Sercomm-WLink
nani,2236,tcp,Nani
optech-port1-lm,2237,tcp,Optech Port1 License Manager
aviva-sna,2238,tcp,AVIVA SNA SERVER
imagequery,2239,tcp,Image Query
recipe,2240,tcp,RECIPe
ivsd,2241,tcp,IVS Daemon
foliocorp,2242,tcp,Folio Remote Server
magicom,2243,tcp,Magicom Protocol
nmsserver,2244,tcp,NMS Server
hao,2245,tcp,HaO
pc-mta-addrmap,2246,tcp,PacketCable MTA Addr Map
antidotemgrsvr,2247,tcp,Antidote Deployment Manager Service
ums,2248,tcp,User Management Service
rfmp,2249,tcp,RISO File Manager Protocol
remote-collab,2250,tcp,remote-collab
dif-port,2251,tcp,Distributed Framework Port
njenet-ssl,2252,tcp,NJENET using SSL
dtv-chan-req,2253,tcp,DTV Channel Request
seispoc,2254,tcp,Seismic P.O.C. Port
vrtp,2255,tcp,VRTP - ViRtue Transfer Protocol
pcc-mfp,2256,tcp,PCC MFP
simple-tx-rx,2257,tcp,simple text/file transfer
rcts,2258,tcp,Rotorcraft Communications Test System
apc-2260,2260,tcp,APC 2260
comotionmaster,2261,tcp,CoMotion Master Server
comotionback,2262,tcp,CoMotion Backup Server
ecwcfg,2263,tcp,ECweb Configuration Service
apx500api-1,2264,tcp,Audio Precision Apx500 API Port 1
apx500api-2,2265,tcp,Audio Precision Apx500 API Port 2
mfserver,2266,tcp,M-Files Server
ontobroker,2267,tcp,OntoBroker
amt,2268,tcp,AMT
mikey,2269,tcp,MIKEY
starschool,2270,tcp,starSchool
mmcals,2271,tcp,Secure Meeting Maker Scheduling
mmcal,2272,tcp,Meeting Maker Scheduling
mysql-im,2273,tcp,MySQL Instance Manager
pcttunnell,2274,tcp,PCTTunneller
ibridge-data,2275,tcp,iBridge Conferencing
ibridge-mgmt,2276,tcp,iBridge Management
bluectrlproxy,2277,tcp,Bt device control proxy
s3db,2278,tcp,Simple Stacked Sequences Database
xmquery,2279,tcp,xmquery
lnvpoller,2280,tcp,LNVPOLLER
lnvconsole,2281,tcp,LNVCONSOLE
lnvalarm,2282,tcp,LNVALARM
lnvstatus,2283,tcp,LNVSTATUS
lnvmaps,2284,tcp,LNVMAPS
lnvmailmon,2285,tcp,LNVMAILMON
nas-metering,2286,tcp,NAS-Metering
dna,2287,tcp,DNA
netml,2288,tcp,NETML
dict-lookup,2289,tcp,Lookup dict server
sonus-logging,2290,tcp,Sonus Logging Services
eapsp,2291,tcp,EPSON Advanced Printer Share Protocol
mib-streaming,2292,tcp,Sonus Element Management Services
npdbgmngr,2293,tcp,Network Platform Debug Manager
konshus-lm,2294,tcp,Konshus License Manager (FLEX)
advant-lm,2295,tcp,Advant License Manager
theta-lm,2296,tcp,Theta License Manager (Rainbow)
d2k-datamover1,2297,tcp,D2K DataMover 1
d2k-datamover2,2298,tcp,D2K DataMover 2
pc-telecommute,2299,tcp,PC Telecommute
cvmmon,2300,tcp,CVMMON
cpq-wbem,2301,tcp,Compaq HTTP
binderysupport,2302,tcp,Bindery Support
proxy-gateway,2303,tcp,Proxy Gateway
attachmate-uts,2304,tcp,Attachmate UTS
mt-scaleserver,2305,tcp,MT ScaleServer
tappi-boxnet,2306,tcp,TAPPI BoxNet
pehelp,2307,tcp,pehelp
sdhelp,2308,tcp,sdhelp
sdserver,2309,tcp,SD Server
sdclient,2310,tcp,SD Client
messageservice,2311,tcp,Message Service
wanscaler,2312,tcp,WANScaler Communication Service
iapp,2313,tcp,IAPP (Inter Access Point Protocol)
cr-websystems,2314,tcp,CR WebSystems
precise-sft,2315,tcp,Precise Sft.
sent-lm,2316,tcp,SENT License Manager
attachmate-g32,2317,tcp,Attachmate G32
cadencecontrol,2318,tcp,Cadence Control
infolibria,2319,tcp,InfoLibria
siebel-ns,2320,tcp,Siebel NS
rdlap,2321,tcp,RDLAP
ofsd,2322,tcp,ofsd
3d-nfsd,2323,tcp,3d-nfsd
cosmocall,2324,tcp,Cosmocall
ansysli,2325,tcp,ANSYS Licensing Interconnect
idcp,2326,tcp,IDCP
xingcsm,2327,tcp,xingcsm
netrix-sftm,2328,tcp,Netrix SFTM
nvd,2329,tcp,NVD
tscchat,2330,tcp,TSCCHAT
agentview,2331,tcp,AGENTVIEW
rcc-host,2332,tcp,RCC Host
snapp,2333,tcp,SNAPP
ace-client,2334,tcp,ACE Client Auth
ace-proxy,2335,tcp,ACE Proxy
appleugcontrol,2336,tcp,Apple UG Control
ideesrv,2337,tcp,ideesrv
norton-lambert,2338,tcp,Norton Lambert
3com-webview,2339,tcp,3Com WebView
wrs-registry,2340,tcp,"WRS Registry IANA assigned this well-formed service name as a replacement for ""wrs_registry""."
wrs_registry,2340,tcp,WRS Registry
xiostatus,2341,tcp,XIO Status
manage-exec,2342,tcp,Seagate Manage Exec
nati-logos,2343,tcp,nati logos
fcmsys,2344,tcp,fcmsys
dbm,2345,tcp,dbm
redstorm-join,2346,tcp,"Game Connection Port IANA assigned this well-formed service name as a replacement for ""redstorm_join""."
redstorm_join,2346,tcp,Game Connection Port
redstorm-find,2347,tcp,"Game Announcement and Location IANA assigned this well-formed service name as a replacement for ""redstorm_find""."
redstorm_find,2347,tcp,Game Announcement and Location
redstorm-info,2348,tcp,"Information to query for game status IANA assigned this well-formed service name as a replacement for ""redstorm_info""."
redstorm_info,2348,tcp,Information to query for game status
redstorm-diag,2349,tcp,"Diagnostics Port IANA assigned this well-formed service name as a replacement for ""redstorm_diag""."
redstorm_diag,2349,tcp,Diagnostics Port
psbserver,2350,tcp,Pharos Booking Server
psrserver,2351,tcp,psrserver
pslserver,2352,tcp,pslserver
pspserver,2353,tcp,pspserver
psprserver,2354,tcp,psprserver
psdbserver,2355,tcp,psdbserver
gxtelmd,2356,tcp,GXT License Managemant
unihub-server,2357,tcp,UniHub Server
futrix,2358,tcp,Futrix
flukeserver,2359,tcp,FlukeServer
nexstorindltd,2360,tcp,NexstorIndLtd
tl1,2361,tcp,TL1
digiman,2362,tcp,digiman
mediacntrlnfsd,2363,tcp,Media Central NFSD
oi-2000,2364,tcp,OI-2000
dbref,2365,tcp,dbref
qip-login,2366,tcp,qip-login
service-ctrl,2367,tcp,Service Control
opentable,2368,tcp,OpenTable
l3-hbmon,2370,tcp,L3-HBMon
rda,2371,tcp,Remote Device Access
lanmessenger,2372,tcp,LanMessenger
remographlm,2373,tcp,Remograph License Manager
hydra,2374,tcp,Hydra RPC
docker,2375,tcp,Docker REST API (plain text)
docker-s,2376,tcp,Docker REST API (ssl)
swarm,2377,tcp,RPC interface for Docker Swarm
,2378,tcp,Reserved
etcd-client,2379,tcp,etcd client communication
etcd-server,2380,tcp,etcd server to server communication
compaq-https,2381,tcp,Compaq HTTPS
ms-olap3,2382,tcp,Microsoft OLAP
ms-olap4,2383,tcp,Microsoft OLAP
sd-request,2384,tcp,SD-REQUEST
sd-data,2385,tcp,SD-DATA
virtualtape,2386,tcp,Virtual Tape
vsamredirector,2387,tcp,VSAM Redirector
mynahautostart,2388,tcp,MYNAH AutoStart
ovsessionmgr,2389,tcp,OpenView Session Mgr
rsmtp,2390,tcp,RSMTP
3com-net-mgmt,2391,tcp,3COM Net Management
tacticalauth,2392,tcp,Tactical Auth
ms-olap1,2393,tcp,MS OLAP 1
ms-olap2,2394,tcp,MS OLAP 2
lan900-remote,2395,tcp,"LAN900 Remote IANA assigned this well-formed service name as a replacement for ""lan900_remote""."
lan900_remote,2395,tcp,LAN900 Remote
wusage,2396,tcp,Wusage
ncl,2397,tcp,NCL
orbiter,2398,tcp,Orbiter
fmpro-fdal,2399,tcp,"FileMaker, Inc. - Data Access Layer"
opequus-server,2400,tcp,OpEquus Server
cvspserver,2401,tcp,cvspserver
taskmaster2000,2402,tcp,TaskMaster 2000 Server
taskmaster2000,2403,tcp,TaskMaster 2000 Web
iec-104,2404,tcp,IEC 60870-5-104 process control over IP
trc-netpoll,2405,tcp,TRC Netpoll
jediserver,2406,tcp,JediServer
orion,2407,tcp,Orion
railgun-webaccl,2408,tcp,CloudFlare Railgun Web Acceleration Protocol
sns-protocol,2409,tcp,SNS Protocol
vrts-registry,2410,tcp,VRTS Registry
netwave-ap-mgmt,2411,tcp,Netwave AP Management
cdn,2412,tcp,CDN
orion-rmi-reg,2413,tcp,orion-rmi-reg
beeyond,2414,tcp,Beeyond
codima-rtp,2415,tcp,Codima Remote Transaction Protocol
rmtserver,2416,tcp,RMT Server
composit-server,2417,tcp,Composit Server
cas,2418,tcp,cas
attachmate-s2s,2419,tcp,Attachmate S2S
dslremote-mgmt,2420,tcp,DSL Remote Management
g-talk,2421,tcp,G-Talk
crmsbits,2422,tcp,CRMSBITS
rnrp,2423,tcp,RNRP
kofax-svr,2424,tcp,KOFAX-SVR
fjitsuappmgr,2425,tcp,Fujitsu App Manager
vcmp,2426,tcp,VeloCloud MultiPath Protocol
mgcp-gateway,2427,tcp,Media Gateway Control Protocol Gateway
ott,2428,tcp,One Way Trip Time
ft-role,2429,tcp,FT-ROLE
venus,2430,tcp,venus
venus-se,2431,tcp,venus-se
codasrv,2432,tcp,codasrv
codasrv-se,2433,tcp,codasrv-se
pxc-epmap,2434,tcp,pxc-epmap
optilogic,2435,tcp,OptiLogic
topx,2436,tcp,TOP/X
unicontrol,2437,tcp,UniControl
msp,2438,tcp,MSP
sybasedbsynch,2439,tcp,SybaseDBSynch
spearway,2440,tcp,Spearway Lockers
pvsw-inet,2441,tcp,Pervasive I*net Data Server
netangel,2442,tcp,Netangel
powerclientcsf,2443,tcp,PowerClient Central Storage Facility
btpp2sectrans,2444,tcp,BT PP2 Sectrans
dtn1,2445,tcp,DTN1
bues-service,2446,tcp,"bues_service IANA assigned this well-formed service name as a replacement for ""bues_service""."
bues_service,2446,tcp,bues_service
ovwdb,2447,tcp,OpenView NNM daemon
hpppssvr,2448,tcp,hpppsvr
ratl,2449,tcp,RATL
netadmin,2450,tcp,netadmin
netchat,2451,tcp,netchat
snifferclient,2452,tcp,SnifferClient
madge-ltd,2453,tcp,madge ltd
indx-dds,2454,tcp,IndX-DDS
wago-io-system,2455,tcp,WAGO-IO-SYSTEM
altav-remmgt,2456,tcp,altav-remmgt
rapido-ip,2457,tcp,Rapido_IP
griffin,2458,tcp,griffin
xrpl,2459,tcp,Community
ms-theater,2460,tcp,ms-theater
qadmifoper,2461,tcp,qadmifoper
qadmifevent,2462,tcp,qadmifevent
lsi-raid-mgmt,2463,tcp,LSI RAID Management
direcpc-si,2464,tcp,DirecPC SI
lbm,2465,tcp,Load Balance Management
lbf,2466,tcp,Load Balance Forwarding
high-criteria,2467,tcp,High Criteria
qip-msgd,2468,tcp,qip_msgd
mti-tcs-comm,2469,tcp,MTI-TCS-COMM
taskman-port,2470,tcp,taskman port
seaodbc,2471,tcp,SeaODBC
c3,2472,tcp,C3
aker-cdp,2473,tcp,Aker-cdp
vitalanalysis,2474,tcp,Vital Analysis
ace-server,2475,tcp,ACE Server
ace-svr-prop,2476,tcp,ACE Server Propagation
ssm-cvs,2477,tcp,SecurSight Certificate Valifation Service
ssm-cssps,2478,tcp,SecurSight Authentication Server (SSL)
ssm-els,2479,tcp,SecurSight Event Logging Server (SSL)
powerexchange,2480,tcp,Informatica PowerExchange Listener
giop,2481,tcp,Oracle GIOP
giop-ssl,2482,tcp,Oracle GIOP SSL
ttc,2483,tcp,Oracle TTC
ttc-ssl,2484,tcp,Oracle TTC SSL
netobjects1,2485,tcp,Net Objects1
netobjects2,2486,tcp,Net Objects2
pns,2487,tcp,Policy Notice Service
moy-corp,2488,tcp,Moy Corporation
tsilb,2489,tcp,TSILB
qip-qdhcp,2490,tcp,qip_qdhcp
conclave-cpp,2491,tcp,Conclave CPP
groove,2492,tcp,GROOVE
talarian-mqs,2493,tcp,Talarian MQS
bmc-ar,2494,tcp,BMC AR
fast-rem-serv,2495,tcp,Fast Remote Services
dirgis,2496,tcp,DIRGIS
quaddb,2497,tcp,Quad DB
odn-castraq,2498,tcp,ODN-CasTraq
unicontrol,2499,tcp,UniControl
rtsserv,2500,tcp,Resource Tracking system server
rtsclient,2501,tcp,Resource Tracking system client
kentrox-prot,2502,tcp,Kentrox Protocol
nms-dpnss,2503,tcp,NMS-DPNSS
wlbs,2504,tcp,WLBS
ppcontrol,2505,tcp,PowerPlay Control
jbroker,2506,tcp,jbroker
spock,2507,tcp,spock
jdatastore,2508,tcp,JDataStore
fjmpss,2509,tcp,fjmpss
fjappmgrbulk,2510,tcp,fjappmgrbulk
metastorm,2511,tcp,Metastorm
citrixima,2512,tcp,Citrix IMA
citrixadmin,2513,tcp,Citrix ADMIN
facsys-ntp,2514,tcp,Facsys NTP
facsys-router,2515,tcp,Facsys Router
maincontrol,2516,tcp,Main Control
call-sig-trans,2517,tcp,H.323 Annex E Call Control Signalling Transport
willy,2518,tcp,Willy
globmsgsvc,2519,tcp,globmsgsvc
pvsw,2520,tcp,Pervasive Listener
adaptecmgr,2521,tcp,Adaptec Manager
windb,2522,tcp,WinDb
qke-llc-v3,2523,tcp,Qke LLC V.3
optiwave-lm,2524,tcp,Optiwave License Management
ms-v-worlds,2525,tcp,MS V-Worlds
ema-sent-lm,2526,tcp,EMA License Manager
iqserver,2527,tcp,IQ Server
ncr-ccl,2528,tcp,"NCR CCL IANA assigned this well-formed service name as a replacement for ""ncr_ccl""."
ncr_ccl,2528,tcp,NCR CCL
utsftp,2529,tcp,UTS FTP
vrcommerce,2530,tcp,VR Commerce
ito-e-gui,2531,tcp,ITO-E GUI
ovtopmd,2532,tcp,OVTOPMD
snifferserver,2533,tcp,SnifferServer
combox-web-acc,2534,tcp,Combox Web Access
madcap,2535,tcp,MADCAP
btpp2audctr1,2536,tcp,btpp2audctr1
upgrade,2537,tcp,Upgrade Protocol
vnwk-prapi,2538,tcp,vnwk-prapi
vsiadmin,2539,tcp,VSI Admin
lonworks,2540,tcp,LonWorks
lonworks2,2541,tcp,LonWorks2
udrawgraph,2542,tcp,uDraw(Graph)
reftek,2543,tcp,REFTEK
novell-zen,2544,tcp,Management Daemon Refresh
sis-emt,2545,tcp,sis-emt
vytalvaultbrtp,2546,tcp,vytalvaultbrtp
vytalvaultvsmp,2547,tcp,vytalvaultvsmp
vytalvaultpipe,2548,tcp,vytalvaultpipe
ipass,2549,tcp,IPASS
ads,2550,tcp,ADS
isg-uda-server,2551,tcp,ISG UDA Server
call-logging,2552,tcp,Call Logging
efidiningport,2553,tcp,efidiningport
vcnet-link-v10,2554,tcp,VCnet-Link v10
compaq-wcp,2555,tcp,Compaq WCP
nicetec-nmsvc,2556,tcp,nicetec-nmsvc
nicetec-mgmt,2557,tcp,nicetec-mgmt
pclemultimedia,2558,tcp,PCLE Multi Media
lstp,2559,tcp,LSTP
labrat,2560,tcp,labrat
mosaixcc,2561,tcp,MosaixCC
delibo,2562,tcp,Delibo
cti-redwood,2563,tcp,CTI Redwood
hp-3000-telnet,2564,tcp,HP 3000 NS/VT block mode telnet
coord-svr,2565,tcp,Coordinator Server
pcs-pcw,2566,tcp,pcs-pcw
clp,2567,tcp,Cisco Line Protocol
spamtrap,2568,tcp,SPAM TRAP
sonuscallsig,2569,tcp,Sonus Call Signal
hs-port,2570,tcp,HS Port
cecsvc,2571,tcp,CECSVC
ibp,2572,tcp,IBP
trustestablish,2573,tcp,Trust Establish
blockade-bpsp,2574,tcp,Blockade BPSP
hl7,2575,tcp,HL7
tclprodebugger,2576,tcp,TCL Pro Debugger
scipticslsrvr,2577,tcp,Scriptics Lsrvr
rvs-isdn-dcp,2578,tcp,RVS ISDN DCP
mpfoncl,2579,tcp,mpfoncl
tributary,2580,tcp,Tributary
argis-te,2581,tcp,ARGIS TE
argis-ds,2582,tcp,ARGIS DS
mon,2583,tcp,MON
cyaserv,2584,tcp,cyaserv
netx-server,2585,tcp,NETX Server
netx-agent,2586,tcp,NETX Agent
masc,2587,tcp,MASC
privilege,2588,tcp,Privilege
quartus-tcl,2589,tcp,quartus tcl
idotdist,2590,tcp,idotdist
maytagshuffle,2591,tcp,Maytag Shuffle
netrek,2592,tcp,netrek
mns-mail,2593,tcp,MNS Mail Notice Service
dts,2594,tcp,Data Base Server
worldfusion1,2595,tcp,World Fusion 1
worldfusion2,2596,tcp,World Fusion 2
homesteadglory,2597,tcp,Homestead Glory
citriximaclient,2598,tcp,Citrix MA Client
snapd,2599,tcp,Snap Discovery
hpstgmgr,2600,tcp,HPSTGMGR
discp-client,2601,tcp,discp client
discp-server,2602,tcp,discp server
servicemeter,2603,tcp,Service Meter
nsc-ccs,2604,tcp,NSC CCS
nsc-posa,2605,tcp,NSC POSA
netmon,2606,tcp,Dell Netmon
connection,2607,tcp,Dell Connection
wag-service,2608,tcp,Wag Service
system-monitor,2609,tcp,System Monitor
versa-tek,2610,tcp,VersaTek
lionhead,2611,tcp,LIONHEAD
qpasa-agent,2612,tcp,Qpasa Agent
smntubootstrap,2613,tcp,SMNTUBootstrap
neveroffline,2614,tcp,Never Offline
firepower,2615,tcp,firepower
appswitch-emp,2616,tcp,appswitch-emp
cmadmin,2617,tcp,Clinical Context Managers
priority-e-com,2618,tcp,Priority E-Com
bruce,2619,tcp,bruce
lpsrecommender,2620,tcp,LPSRecommender
miles-apart,2621,tcp,Miles Apart Jukebox Server
metricadbc,2622,tcp,MetricaDBC
lmdp,2623,tcp,LMDP
aria,2624,tcp,Aria
blwnkl-port,2625,tcp,Blwnkl Port
gbjd816,2626,tcp,gbjd816
moshebeeri,2627,tcp,Moshe Beeri
dict,2628,tcp,DICT
sitaraserver,2629,tcp,Sitara Server
sitaramgmt,2630,tcp,Sitara Management
sitaradir,2631,tcp,Sitara Dir
irdg-post,2632,tcp,IRdg Post
interintelli,2633,tcp,InterIntelli
pk-electronics,2634,tcp,PK Electronics
backburner,2635,tcp,Back Burner
solve,2636,tcp,Solve
imdocsvc,2637,tcp,Import Document Service
sybaseanywhere,2638,tcp,Sybase Anywhere
aminet,2639,tcp,AMInet
ami-control,2640,tcp,Alcorn McBride Inc protocol used for device control
hdl-srv,2641,tcp,HDL Server
tragic,2642,tcp,Tragic
gte-samp,2643,tcp,GTE-SAMP
travsoft-ipx-t,2644,tcp,Travsoft IPX Tunnel
novell-ipx-cmd,2645,tcp,Novell IPX CMD
and-lm,2646,tcp,AND License Manager
syncserver,2647,tcp,SyncServer
upsnotifyprot,2648,tcp,Upsnotifyprot
vpsipport,2649,tcp,VPSIPPORT
eristwoguns,2650,tcp,eristwoguns
ebinsite,2651,tcp,EBInSite
interpathpanel,2652,tcp,InterPathPanel
sonus,2653,tcp,Sonus
corel-vncadmin,2654,tcp,"Corel VNC Admin IANA assigned this well-formed service name as a replacement for ""corel_vncadmin""."
corel_vncadmin,2654,tcp,Corel VNC Admin
unglue,2655,tcp,UNIX Nt Glue
kana,2656,tcp,Kana
sns-dispatcher,2657,tcp,SNS Dispatcher
sns-admin,2658,tcp,SNS Admin
sns-query,2659,tcp,SNS Query
gcmonitor,2660,tcp,GC Monitor
olhost,2661,tcp,OLHOST
bintec-capi,2662,tcp,BinTec-CAPI
bintec-tapi,2663,tcp,BinTec-TAPI
patrol-mq-gm,2664,tcp,Patrol for MQ GM
patrol-mq-nm,2665,tcp,Patrol for MQ NM
extensis,2666,tcp,extensis
alarm-clock-s,2667,tcp,Alarm Clock Server
alarm-clock-c,2668,tcp,Alarm Clock Client
toad,2669,tcp,TOAD
tve-announce,2670,tcp,TVE Announce
newlixreg,2671,tcp,newlixreg
nhserver,2672,tcp,nhserver
firstcall42,2673,tcp,First Call 42
ewnn,2674,tcp,ewnn
ttc-etap,2675,tcp,TTC ETAP
simslink,2676,tcp,SIMSLink
gadgetgate1way,2677,tcp,Gadget Gate 1 Way
gadgetgate2way,2678,tcp,Gadget Gate 2 Way
syncserverssl,2679,tcp,Sync Server SSL
pxc-sapxom,2680,tcp,pxc-sapxom
mpnjsomb,2681,tcp,mpnjsomb
ncdloadbalance,2683,tcp,NCDLoadBalance
mpnjsosv,2684,tcp,mpnjsosv
mpnjsocl,2685,tcp,mpnjsocl
mpnjsomg,2686,tcp,mpnjsomg
pq-lic-mgmt,2687,tcp,pq-lic-mgmt
md-cg-http,2688,tcp,md-cf-http
fastlynx,2689,tcp,FastLynx
hp-nnm-data,2690,tcp,HP NNM Embedded Database
itinternet,2691,tcp,ITInternet ISM Server
admins-lms,2692,tcp,Admins LMS
,2693,tcp,Unassigned
pwrsevent,2694,tcp,pwrsevent
vspread,2695,tcp,VSPREAD
unifyadmin,2696,tcp,Unify Admin
oce-snmp-trap,2697,tcp,Oce SNMP Trap Port
mck-ivpip,2698,tcp,MCK-IVPIP
csoft-plusclnt,2699,tcp,Csoft Plus Client
tqdata,2700,tcp,tqdata
sms-rcinfo,2701,tcp,SMS RCINFO
sms-xfer,2702,tcp,SMS XFER
sms-chat,2703,tcp,SMS CHAT
sms-remctrl,2704,tcp,SMS REMCTRL
sds-admin,2705,tcp,SDS Admin
ncdmirroring,2706,tcp,NCD Mirroring
emcsymapiport,2707,tcp,EMCSYMAPIPORT
banyan-net,2708,tcp,Banyan-Net
supermon,2709,tcp,Supermon
sso-service,2710,tcp,SSO Service
sso-control,2711,tcp,SSO Control
aocp,2712,tcp,Axapta Object Communication Protocol
raventbs,2713,tcp,Raven Trinity Broker Service
raventdm,2714,tcp,Raven Trinity Data Mover
hpstgmgr2,2715,tcp,HPSTGMGR2
inova-ip-disco,2716,tcp,Inova IP Disco
pn-requester,2717,tcp,PN REQUESTER
pn-requester2,2718,tcp,PN REQUESTER 2
scan-change,2719,tcp,Scan & Change
wkars,2720,tcp,wkars
smart-diagnose,2721,tcp,Smart Diagnose
proactivesrvr,2722,tcp,Proactive Server
watchdog-nt,2723,tcp,WatchDog NT Protocol
qotps,2724,tcp,qotps
msolap-ptp2,2725,tcp,MSOLAP PTP2
tams,2726,tcp,TAMS
mgcp-callagent,2727,tcp,Media Gateway Control Protocol Call Agent
sqdr,2728,tcp,SQDR
tcim-control,2729,tcp,TCIM Control
nec-raidplus,2730,tcp,NEC RaidPlus
fyre-messanger,2731,tcp,Fyre Messanger
g5m,2732,tcp,G5M
signet-ctf,2733,tcp,Signet CTF
ccs-software,2734,tcp,CCS Software
netiq-mc,2735,tcp,NetIQ Monitor Console
radwiz-nms-srv,2736,tcp,RADWIZ NMS SRV
srp-feedback,2737,tcp,SRP Feedback
ndl-tcp-ois-gw,2738,tcp,NDL TCP-OSI Gateway
tn-timing,2739,tcp,TN Timing
alarm,2740,tcp,Alarm
tsb,2741,tcp,TSB
tsb2,2742,tcp,TSB2
murx,2743,tcp,murx
honyaku,2744,tcp,honyaku
urbisnet,2745,tcp,URBISNET
cpudpencap,2746,tcp,CPUDPENCAP
fjippol-swrly,2747,tcp,
fjippol-polsvr,2748,tcp,
fjippol-cnsl,2749,tcp,
fjippol-port1,2750,tcp,
fjippol-port2,2751,tcp,
rsisysaccess,2752,tcp,RSISYS ACCESS
de-spot,2753,tcp,de-spot
apollo-cc,2754,tcp,APOLLO CC
expresspay,2755,tcp,Express Pay
simplement-tie,2756,tcp,simplement-tie
cnrp,2757,tcp,CNRP
apollo-status,2758,tcp,APOLLO Status
apollo-gms,2759,tcp,APOLLO GMS
sabams,2760,tcp,Saba MS
dicom-iscl,2761,tcp,DICOM ISCL
dicom-tls,2762,tcp,DICOM TLS
desktop-dna,2763,tcp,Desktop DNA
data-insurance,2764,tcp,Data Insurance
qip-audup,2765,tcp,qip-audup
compaq-scp,2766,tcp,Compaq SCP
uadtc,2767,tcp,UADTC
uacs,2768,tcp,UACS
exce,2769,tcp,eXcE
veronica,2770,tcp,Veronica
vergencecm,2771,tcp,Vergence CM
auris,2772,tcp,auris
rbakcup1,2773,tcp,RBackup Remote Backup
rbakcup2,2774,tcp,RBackup Remote Backup
smpp,2775,tcp,SMPP
ridgeway1,2776,tcp,Ridgeway Systems & Software
ridgeway2,2777,tcp,Ridgeway Systems & Software
gwen-sonya,2778,tcp,Gwen-Sonya
lbc-sync,2779,tcp,LBC Sync
lbc-control,2780,tcp,LBC Control
whosells,2781,tcp,whosells
everydayrc,2782,tcp,everydayrc
aises,2783,tcp,AISES
www-dev,2784,tcp,world wide web - development
aic-np,2785,tcp,aic-np
aic-oncrpc,2786,tcp,aic-oncrpc - Destiny MCD database
piccolo,2787,tcp,piccolo - Cornerstone Software
fryeserv,2788,tcp,NetWare Loadable Module - Seagate Software
media-agent,2789,tcp,Media Agent
plgproxy,2790,tcp,PLG Proxy
mtport-regist,2791,tcp,MT Port Registrator
f5-globalsite,2792,tcp,f5-globalsite
initlsmsad,2793,tcp,initlsmsad
livestats,2795,tcp,LiveStats
ac-tech,2796,tcp,ac-tech
esp-encap,2797,tcp,esp-encap
tmesis-upshot,2798,tcp,TMESIS-UPShot
icon-discover,2799,tcp,ICON Discover
acc-raid,2800,tcp,ACC RAID
igcp,2801,tcp,IGCP
veritas-tcp1,2802,tcp,Veritas TCP1
btprjctrl,2803,tcp,btprjctrl
dvr-esm,2804,tcp,March Networks Digital Video Recorders and Enterprise Service Manager products
wta-wsp-s,2805,tcp,WTA WSP-S
cspuni,2806,tcp,cspuni
cspmulti,2807,tcp,cspmulti
j-lan-p,2808,tcp,J-LAN-P
corbaloc,2809,tcp,CORBA LOC
netsteward,2810,tcp,Active Net Steward
gsiftp,2811,tcp,GSI FTP
atmtcp,2812,tcp,atmtcp
llm-pass,2813,tcp,llm-pass
llm-csv,2814,tcp,llm-csv
lbc-measure,2815,tcp,LBC Measurement
lbc-watchdog,2816,tcp,LBC Watchdog
nmsigport,2817,tcp,NMSig Port
rmlnk,2818,tcp,rmlnk
